Término,Hack,Longitud,Popularidad
does,do.es,4,687
yes,y.es,3,606
themselves,themselv.es,10,474
times,tim.es,5,299
eyes,ey.es,4,297
states,stat.es,6,265
services,servic.es,8,249
sometimes,sometim.es,9,205
changes,chang.es,7,191
minutes,minut.es,7,183
cases,cas.es,5,183
companies,compani.es,9,178
countries,countri.es,9,168
makes,mak.es,5,167
comes,com.es,5,160
goes,go.es,4,149
series,seri.es,6,144
studies,studi.es,7,137
authorities,authoriti.es,11,130
parties,parti.es,7,127
issues,issu.es,6,123
takes,tak.es,5,119
forces,forc.es,6,117
activities,activiti.es,10,116
rates,rat.es,5,116
figures,figur.es,7,114
rules,rul.es,5,109
miles,mil.es,5,107
lives,liv.es,5,105
resources,resourc.es,9,105
gives,giv.es,5,104
sales,sal.es,5,104
circumstances,circumstanc.es,13,104
lines,lin.es,5,102
prices,pric.es,6,101
houses,hous.es,6,100
places,plac.es,6,98
species,speci.es,7,96
wales,wal.es,5,93
features,featur.es,8,89
types,typ.es,5,89
policies,polici.es,8,88
provides,provid.es,8,84
shares,shar.es,6,84
families,famili.es,8,83
trees,tre.es,5,83
courses,cours.es,7,80
differences,differenc.es,11,78
names,nam.es,5,77
becomes,becom.es,7,77
values,valu.es,6,76
facilities,faciliti.es,10,75
clothes,cloth.es,7,73
examples,exampl.es,8,71
bodies,bodi.es,6,70
measures,measur.es,8,69
difficulties,difficulti.es,12,68
includes,includ.es,8,68
sources,sourc.es,7,67
notes,not.es,5,66
programmes,programm.es,10,65
leaves,leav.es,6,65
sides,sid.es,5,63
charges,charg.es,7,63
games,gam.es,5,62
homes,hom.es,5,61
classes,class.es,7,61
techniques,techniqu.es,10,59
employees,employe.es,9,58
opportunities,opportuniti.es,13,58
purposes,purpos.es,8,58
sites,sit.es,5,58
principles,principl.es,10,57
pieces,piec.es,6,56
colleagues,colleagu.es,10,56
pictures,pictur.es,8,55
processes,process.es,9,55
uses,us.es,4,54
centres,centr.es,7,54
procedures,procedur.es,10,53
requires,requir.es,8,53
lies,li.es,4,52
schemes,schem.es,7,51
horses,hors.es,6,49
stories,stori.es,7,48
machines,machin.es,8,48
attitudes,attitud.es,9,48
faces,fac.es,5,47
practices,practic.es,9,46
jones,jon.es,5,46
causes,caus.es,6,46
structures,structur.es,10,45
ourselves,ourselv.es,9,45
consequences,consequenc.es,12,44
societies,societi.es,9,44
offices,offic.es,7,44
pages,pag.es,5,44
cities,citi.es,6,44
increases,increas.es,9,43
objectives,objectiv.es,10,43
representatives,representativ.es,15,43
industries,industri.es,10,43
hopes,hop.es,5,42
